trade_id,tool,side,tags,reason_of_entry,price_of_entry,volume,price_of_exit,reason_of_exit,pnl,commission,risk_usd,comment,emotional_state,date_time
1,BNB,лонг,#acc,Отбой от границы накопления,243.61,0.07,252.17,Тейк на прогнозной цели,0.5991999999999982,0.0,0.3,"Можно было ставить цель и повыше так как накопление было очень красивое, и цена цели в итоге и достигла тем же прорывным баром",Вообще не переживал по сделке даже когда цена ультра проседала,2023-07-01 00:00:00
2,FTM,лонг,#web,Пробой паутины и недельного объема толкающим баром на М5,0.3057,171.0,0.3089,Тейк на локальной трендовой,0.5471999999999967,0.0,0.3,"Было много факторов за лонг, поэтому решил войти не дожидаясь сигналов от индикаторных связок. Цена сразу отбилась от моей трендовой и сильно упала","По началу нервничал из-за того что мог неправильно угадать движение цены, но потом расслабился ",2023-07-01 00:00:00
3,BTC,лонг,#web,Пробой паутины толкающим объемом на М60,30624.0,0.002,30475.0,Стоп,-0.298,0.0,0.3,"Надо было дождаться закрытия бара пробоя на М5, на закрытии он оказался тормозящим в шорт",FOMO,2023-07-01 00:00:00
4,DOGE,лонг,#web,Пробой паутины и дневного объема толкающим баром,0.068,740.0,0.06779,Стоп,-0.31080000000000274,0.0,0.3,"Надо было дождаться закрытия бара пробоя на М5, на закрытии он оказался тормозящим в шорт, к тому же на нем образовалась аномальная дельта за шорт. Еще нужно было ставить стоп за экстремум, ведь цена дальше рванула вверх",FOMO,2023-07-01 00:00:00
5,DASH,лонг,#trendline #vah,Тест трендовой и пробой ваха толкающим баром,38.12,0.942,37.8,Стоп,-0.30144000000000026,0.0,0.3,"Видимо не стоит входить на пробои вахов и валов, к тому же теста трендовой по сути и не было","FOMO, очень нервничал когда цена стала рисовать даун бары",2023-07-02 00:00:00
6,ETH,шорт,#trendline #vah,Тест трендовой и пробой ваха толкающим баром,1953.04,0.032,1956.82,Вышел когда понял что совершил ошибку,-0.24191999999999825,0.0,0.3,"Нет слов, рисовал же линию что войду на отбое, зачем было в моменте что-то новое придумывать, дикая спешка","Входил в состоянии парализованного транса, ужасное ощущение когда спешишь войти и не знаешь что делать",2023-07-04 00:00:00
7,FTM,шорт,#distr #ice,Тест льда,0.3152,69.0,0.3175,Вышел когда понял что уже нет смысла дожидаться стопа,-0.15870000000000167,0.0,0.3,"Не смотря на то что диапазон выгладел как распределение, на его пути был зеркальный уровень от 1-2-3, который не дал цене сразу уйти ниже. Нужно было шортить до 138% при отбое от ПОКа и радоваться жизни либо ставить стоп за верхнюю границу диапазона ведб распределение в итоге реализовалось",Опустошение,2023-07-04 00:00:00
8,BTC,лонг,#acc,Отбой от границы накопления,30503.0,0.001,30682.4,Тейк,0.17940000000000145,0.0,0.3,"Вошел в недоформировавшееся накопление где запросто мог словить стоп, теперь я понял зачем так много внимания уделялось фазам диапазонов. Повезло что за ночь накопление доформировалось а не выродилось ",Очень переживал когда началась колбасня,2023-07-05 00:00:00
9,BNB,лонг,#poc #acc,Отбой от пока накопления толкающим баром,238.51,0.15,242.69,Тейк,0.627000000000001,0.0,0.3,"Вошел в недоформировавшееся накопление где запросто мог словить стоп, теперь я понял зачем так много внимания уделялось фазам диапазонов. Повезло что за ночь сформировалось новое накопление",Очень переживал когда началась колбасня,2023-07-05 00:00:00
10,ETH,лонг,#creek #acc,Отбой от крика толкающим баром,1906.85,0.003,1932.0,Тейк,0.07545000000000028,0.0,0.3,"Вошел в недоформировавшееся накопление где запросто мог словить стоп, теперь я понял зачем так много внимания уделялось фазам диапазонов. Повезло что за ночь накопление доформировалось а не выродилось ",Очень переживал когда началась колбасня,2023-07-05 00:00:00
11,FTM,шорт,#val #flag,Отбой от вала волны после выхода из полотна флага,0.2711,240.0,0.26,Тейк,2.6639999999999997,0.0,0.3,"Прекрасная сделка где рано заметил выгодный вход, и такое возможно","Нервничал когда цена пошла в реализацию мини вульфа на М1, но забил на это",2023-07-07 00:00:00
12,SOL,шорт,#distr,Отбой от границы распределения тормозящим баром,21.256,1.0,21.834,Стоп,-0.5779999999999994,0.0,0.3,"Цена тупо немного не дошла до МА200 и цели по распределению, сформировав и реализовав вульфа пока у меня не было инета","Очень удивился когда увидел стоп по этой сделке, как-будто бы просто непруха",2023-07-07 00:00:00
13,DOGE,шорт,#distr,Отбой от границы распределения,0.06552,95.0,0.0684,Стоп,-0.27360000000000073,0.0,0.3,Изначально по формированию затяжного боковика было понятно что цена не добьет целей по распределению,"Свыкся с тем что сделка не реализуется быстро, а она вообще и не реализовалась",2023-07-06 00:00:00
14,SOL,шорт,#wolfe #web #lustra,Вульф + отбой от паутины + люстра на М1,27.972,4.0,27.474,Тейк,1.9920000000000044,0.0,0.82,"По всей видимости можно было еще посидеть так как пошла реализация гипа после теста шеи хоть цена и немного не дошла до цели, на котором я как раз и нервничал ведь не хотел рассматривать гип из-за его подозрительного положения","Нервничал когда цену начало колбасить большими шпильками и спрэдами даже не смотря на то что позиция была в прибыли, боялся что цена не добьет цель",2023-07-16 00:00:00
15,BNB,шорт,#wolfe #ice #distr #val,Вульф + отбой ото льда и недельного вала,239.98,0.35,242.3,Стоп,-0.8120000000000075,0.0,0.81,"Замылился эмоциями глаз и не заметил что вхожу в полную ересь, недораспределение и убогий вульф так еще и отбои не толкающими барами. Надо было все таки закрыть ее как понял что сделал херню","Почти с самого начала знал что сделка дерьма, поэтому уже смирился с ьем что будет стоп",2023-07-18 00:00:00
16,ADA,шорт,#wolfe #distr #web #poc,Распределение на М1 под паутиной + отбой от пока диапазона толк. барами + все внутри двух медвежьих вульфов,0.3143,766.0,0.3153,Стоп,-0.7660000000000007,0.0,0.77,"Хотел проверить фишку которую нашел на доге, видимо не всегда срабатывает надо будет еще ее попроверять","Немного расстроился что вроде поменял подход к аналризу графиков а все равно убыток, но эта была непроверенная фишка так что ладно",2023-07-23 00:00:00
17,BNB,шорт,#wolfe #web #lustra,Отбой от паутины + люстра на М1 + Вульф,242.42,2.1,242.69,Стоп,-0.5670000000000215,0.0,0.57,"Все таки гип пошел в реализацию, снова самый простой исход и происходит, не придал значения перескоку пока а если бы подумал то понял бы что готовимся к импульсу",Отчаяние,2023-07-23 00:00:00
18,XRP,лонг,#wolfe,Вульф на М1,0.7127,492.0,0.7111,Стоп,-0.7872000000000225,0.0,0.79,Цена резко развернулась даже не дойдя до МА200,Отчаяние,2023-07-27 00:00:00
19,XRP,лонг,#ma200 #acc,Отбой от границы накопления и МА200 DD3 с delta > 0 на М5,0.7106,170.0,0.7074,Стоп,-0.5439999999999967,0.0,0.54,Форма этого накопления на самом деле была не лучшая да и стоп слишком близко стоял,Просто в ахуе был с утра с двух стопов,2023-07-27 00:00:00
20,SOL,лонг,#wolfe,Вульф на М5,24.852,4.0,24.934,Побоялся что от кривенького отбоя от паутины может пойти распределение,0.32800000000000296,0.0,0.54,Цена продолжила рост почти сразу после того как вышел,Нервничал пока позиция не вышла в профит,2023-07-27 00:00:00
21,BNB,лонг,#ma200 #acc,Отбой от границы накопления и МА200 DD3 с delta > 0 на М5,240.19,2.15,241.61,Тейк,3.053000000000034,0.0,0.54,"Очень рано вышел поставив слишком маленькую цель когда цена за два бара сделала цель по накоплению, мог заработать раза в 3 больше",Восстановление уверенности в своем видении рынка,2023-07-27 00:00:00
22,FTM,лонг,#triangle,Пробой границы треугольника,0.2477,272.0,0.2451,Стоп,-0.7071999999999976,0.0,0.71,"Видимо к нему стоило критичнее относится и смотреть дельту на отбоях от поддержки и в целом не входить  по тормозящему бару, благо что решил не добирать на отбое от границы",Просто в ахуе был с утра с двух стопов,2023-07-27 00:00:00
23,FTM,шорт,#ice #distr,Отбой от льда DD3 с max delta < 0 внизу бара,0.2449,442.0,0.2463,Стоп,-0.6187999999999931,0.0,0.62,Провел плохой лед,Безразличие,2023-07-28 00:00:00
24,XRP,шорт,#distr,Отбой от границы распределения DD3 с max delta < 0 в нижней половине бара,0.6597,490.0,0.661,Стоп,-0.6370000000000386,0.0,0.64,Слишком увлекся поиском отбоя что проглядел что образовалась проторговка на границе,Обидно что совершаю одну и ту же ошибку,2023-08-04 00:00:00
25,ADA,шорт,#wolfe,Вульф на М1,0.2922,2121.0,0.2924,Стоп,-0.4241999999999533,0.0,0.42,"Не было четкого бара по которому можно было войти, снова внимание было зашорено",Осознаю свои ошибки и понимаю что нужно создавать простейшие правила входа в формации,2023-08-04 00:00:00
26,XRP,лонг,#acc,Отбой от границы накопления UD1 баром,0.5031,110.0,0.5017,Стоп,-0.15399999999999525,0.0,0.15,"Забыл что сам заметил что проторговка над границей накопления делает вход сомнительным, стоило это так и пометить на графике","Немного расстроился в начале, но понял что я все таки на верном пути",2023-09-03 00:00:00
27,DASH,лонг,#level #turquoise #acc,Отбой от бирюзового уровня внутри накопления с замечательным поком внизу UD3 баром,25.51,1.2,25.49,Частичный тейк + стоп(убыточный),-0.02400000000000375,0.0,0.15,"Забыл о сделке и пошел спать, цена дошла до первого тейка а потом меня выбило по стопу вне бу","Еще одно подтверждение что все у меня в руках, но носа задирать не стоит",2023-09-03 00:00:00
28,SOL,лонг,#trendline #acc,Отбой UD1 баром от трендовой и границы накопления,19.69,2.0,19.784,Частичный тейк + стоп в бу,0.18799999999999528,0.0,0.15,"Стоило не париться и превысить немного риск чтобы войти 3 лотами, а раз вошел двумя стоило второй тейк выставлять по очереди на 161.8% который цена достигла и выбила меня в бу",Вернулась уверенность и подобие гордости от которой нужно избавиться ,2023-09-04 00:00:00
29,ENJ,шорт,#wolfe #wedge #sellzone,Отбой UD3 баром от 1-3-5 вульфа и зоны продаж,0.2455,130.0,0.2467,Стоп,-0.15600000000000086,0.0,0.16,"Стоило обратить внимание на реакцию цены от границы накопления и усомниться в том, что цену снова пустят вниз, к тому же цена импульсанула на повышающихся объемах от пока",Все еще верю в свои силы и свои рисульки,2023-09-11 00:00:00
30,XRP,лонг,#acc #ma200,Отбой SD1 баром от ма200 и верхней границы накопления,0.4777,77.0,0.4799,Частичный тейк + стоп в бу,0.16939999999999844,0.0,0.17,Возможно стоит рассмотреть вариант фулл тейка (первого) при достижении ценой уровня где риск к прибыли 1 к 3,Физически не учавствовал в трейде так как не успел войти ,2023-09-12 00:00:00
31,COMP,лонг,#acc #trendline,Отбой SD1 баром от ма200 и верхней границы накопления,36.63,0.86,36.82,Частичный тейк + стоп в бу,0.16339999999999805,0.0,0.16,Второй тейк стоило бы разместить еще чуть ниже ведь цена не дошла до него всего 6 пт,Физически не учавствовал в трейде так как не успел войти ,2023-09-12 00:00:00
32,XRP,лонг,#acc,Отбой SD1 баром от верхней границы накопления,0.4856,150.0,0.4844,Стоп,-0.17999999999999683,0.0,0.18,"Накопление было не самым удачным, фиксироваться в нем стоило раньше от реакции от сопротивления",Ничего страшного не почувствовал,2023-10-14 00:00:00
33,FTM,лонг,#greenlevel #wolfe #acc,"Отбой SD2 баром от зеленого уровня в направлении бычьего вульфа, после спринга ",0.17691,300.0,0.1764,Стоп,-0.15300000000000313,0.0,0.15,"Честно - не знаю в чем ошибка, возможно тот даунбар отбоя не должен был так проколоть уровень",Физически не учавствовал в трейде так как не успел войти ,2023-10-18 00:00:00
34,BNB,лонг,#trendline,Отбой от тренловой UD1 баром,211.6117,1.1,211.4172,Стоп,-0.21395000000000552,0.0,0.21,Идиотская сделка,"Сомневался, но все равно не понятно зачем вошел",2023-10-18 00:00:00
35,OP,лонг,#acc #spring #test,Отбой UD1 доджи баром от нижней границы накопления после спринга,1.1866,29.0,1.1816,Стоп,-0.14500000000000335,0.0,0.15,,,2023-10-18 00:00:00
36,OP,шорт,#distr #test,ст.14,1.8052,12.0,1.8201,Стоп,-0.17880000000000162,0.0,0.18,Добавил условие №4 к стратегии распредедение ст.1,"Нет чувства страха, был готов к тому что сделка может провалиться ведь ее исход полностью непредсказуем",2023-11-13 00:00:00
37,BNB,шорт,#trendline #down,ст.2,243.7,0.34,244.12,Стоп,-0.14280000000000542,0.0,0.14,"Ну ладно, посмотрим что будет когда буду уже системативно торговать","Расстроился, пропало желание торговать на сегодня",2023-11-17 00:00:00
38,OP,лонг,#acc #test,ст.13,1.727,5.9,1.73807,Стоп после 1ого тейка,0.0653129999999995,0.0,0.15,Хотя бы не убыток,Все как то начинали,2023-11-18 00:00:00
39,FTM,лонг,#flag #test,ст.15,0.3265,88.0,0.3245,Стоп,-0.17600000000000016,0.0,0.18,Изменил список чертилок не являющихся сопротивлениями в ст.2,"Неприятно, но благодаря этой сделке улучшил стратегию",2023-11-18 00:00:00
40,FTM,лонг,#trendline #up #triangle,ст.4,0.3169,54.0,0.32315,Ласт тейк,0.3374999999999988,0.0,0.15,Все таки могу зарабатывать,Накрыло когда цена резко упала до уровня входа,2023-11-19 00:00:00
41,ICX,лонг,#trendline #long,ст.1,0.2556,130.0,0.2539,Стоп,-0.2209999999999973,0.0,0.22,"Не стоило лезть в сделку, ведь на деле рр вообще не соблюдался так как я его измерял",Хочется просто все бросить и застрелиться,2023-11-19 00:00:00
42,ADA,шорт,#trendline #short,ст.5,0.37673,160.0,0.37782,Стоп,-0.17439999999999678,0.0,0.17,Что поделаешь,Расстройство,2023-11-19 00:00:00
43,OP,лонг,#triangle #maxtest,ст.16,1.7556,25.0,1.7486,Стоп,-0.17500000000000293,0.0,0.18,"Никаких ошибок не совершил, просто стоило не заходить в сделку так поздно, ведь после стопа был прибыльный перезаход",Плакал,2024-11-19 00:00:00
44,ICX,лонг,#klin #test,ст.12,0.2617,64.0,0.259,Стоп,-0.17279999999999873,0.0,0.17,Дебильная сделка - подправил условия на вход,Вообще пох,2023-11-24 00:00:00
45,ADA,шорт,#triangle #trendline,ст.5,0.39338,52.0,0.379085,Оба тейка,0.7433400000000001,0.0,0.18,Нормально,"Неужели - много раз хотел выйти раньше времени - молодец, сдержался",2023-11-25 00:00:00
46,FET,лонг,#klin #test #level,ст.12,0.5303,54.0,0.5269,Стоп,-0.18359999999999776,0.0,0.18,Заморозил стратегию,Начинает бесить,2023-11-25 00:00:00
47,OP,шорт,#distr #test,ст.14,1.7773,14.0,1.7876,Стоп,-0.14419999999999966,0.0,0.14,"Со следующей торговой сессии буду использовать первичный фильтр, хватит с меня крайностей",Да поебать мне,2023-11-25 00:00:00
48,FTM,шорт,#trendline #test #down,ст.2,0.3177,78.0,0.3193,Стоп,-0.12479999999999924,0.0,0.12,"Со следующей торговой сессии буду использовать первичный фильтр, хватит с меня крайностей",Да поебать мне,2023-11-25 00:00:00
49,FTM,лонг,#trendline #test #up,ст.1,0.2987,64.0,0.2964,Стоп,-0.14720000000000155,0.0,0.15,Стоило дождаться выноса РСИ в КЗ и потом уже лонговать,Смятение - теряю хватку?,2023-11-27 00:00:00
50,OP,шорт,#dist #ice #test,ст.21,1.7147,16.0,1.723,Стоп,-0.13280000000000314,0.0,0.13,Ошибка - вошел в распределение на часе по тесту на М5 + РСИ был в КЗ на часе,Ладно,2023-11-27 00:00:00
51,ICX,шорт,#triangle #test,ст.5,0.2537,160.0,0.2547,Стоп,-0.16000000000000014,0.0,0.16,Подправил стратегию,Тяжело переживал,2023-12-01 00:00:00
52,OP,шорт,#distr #test,Отбой ото льда,2.0699,0.8,2.0397,Стоп после 1ого тейка,0.02416000000000018,0.0,0.16,Ошибся при входе - дырка была в 1 бар а не 2,Ощущение будто уже нашел или почти пришел к своему стилю торговли,2023-12-09 00:00:00
53,TLM,лонг,#acc #test,Отбой от верхней границы UD1 баром,0.01697,118.0,0.01542,Стоп,-0.18289999999999992,0.0,0.18,"Изначально не стоило входить, отбой был не очень красивым","Без понятия что делать дальше, дикое расстройство и разочарование в своих возможностях",2023-12-09 00:00:00
54,GMT,лонг,#acc #creek #test,Отбой от крика,0.3011,29.0,0.2961,Стоп,-0.14500000000000013,0.0,0.15,"Недочет в стратегии, нужен был фильтр по кластерам","Удивился что мой стоп все таки снесло, не расстоился",2023-12-09 00:00:00
55,FTM,шорт,#ma200 #distr,Отбой от МА200 в распределении,0.4217,11.0,0.4329,Стоп,-0.12319999999999987,0.0,0.12,"По отбою МА200 в распределении видимо стоит входить в трендовом нисходящем движении, к тому же были очень скромные цели так что трейд изначально был сомнительным","Если еще и остальные две сделки не залетят, то я снова не знаю что делать",2023-12-15 00:00:00
56,ADA,шорт,#up #trendline,Отбой от восходящей трендовой снизу,0.62498,10.0,0.59997,Оба тейка,0.25009999999999977,0.0,0.16,"По факту вошел по хреновому сигналу, но в том же месте был нормальный которого не заметил, так что прибыль","Чрезмерная самоуверенность в том что успех уже на ладони, наконец то полностью всплыл противник достижения успеха в трейдинге, нужно и вправду посвящать больше времени себе и своим увлечения и людям вокруг чтобы успех пришел еще быстрее",2023-12-15 00:00:00
57,ATOM,шорт,#ice #distr,Тест льда,11.08,0.68,11.288,Стоп,-0.14144000000000015,0.0,0.14,"Совершил ошибку, в настолько больших распределениях нельзя на М5 проводить однобарные льды, но на H1 конечно можно",Все таки это я лажаю,2023-12-15 00:00:00
58,IOTA,шорт,#ma200 #distr,Отбой от МА200 в распределении,0.2987,30.0,0.2887,Оба тейка,0.30000000000000027,0.0,0.15,Единственная сделка за тот день которую считаю полностью логичной,"Чрезмерная самоуверенность в том что успех уже на ладони, наконец то полностью всплыл противник достижения успеха в трейдинге, нужно и вправду посвящать больше времени себе и своим увлечения и людям вокруг чтобы успех пришел еще быстрее",2023-12-15 00:00:00
59,HIGH,шорт,#trendline #down #flag #distr,Отбой от нисходящей трендовой на верхней границе восходящего канала в нисходящем тренде,1.785,2.0,1.678,Оба тейка,0.21399999999999997,0.0,0.15,"Снова пару раз хотел раньше времени закрыть сделку потому что думал что цена готовится к пробою трендовой, молодец что досидел, хотя тейки можно было поставить и пожирнее, сам же видел какие есть цели по распределению и каналу","Чрезмерная самоуверенность в своих возможностях, думаю стоит дать прибыли прилипнуть и поисследовать рынок вместо торговли",2023-12-16 00:00:00
60,FET,шорт,#wolfe,Медвежий вульф + крюк на стохастике,0.7685,7.0,0.7904,Стоп,-0.1533000000000002,0.0,0.15,"Прекрасно понимал что сделка непойдет, ведь вход был над ренакоплением, вошел тупо чтобы убрать чувство страха перед входом","Снова чувство будто теряю хватку, хотя конечно проблема в том что просто на рынке пока особо ничего нет",2023-12-20 14:46:00
61,IOTA,лонг,#acc #test,Тест верхней границы накопления,0.2745,21.0,0.2773,Стоп после одного тейка,0.05879999999999935,0.0,0.15,,,2023-12-20 15:20:00
